"","Lat","Lon","Count"
"1",50.37266,"-4.144158",3
"2",50.415095,"-5.073969",1
"3",50.690788,"-1.304594",1
"4",50.715495,"-3.534492",1
"5",50.716827,"-1.88137",1
"6",50.767374,"0.290548",1
"7",50.792978,"0.045678",5
"8",50.824603,"-0.130911",8
"9",51.015492,"-3.106806",3
"10",51.07876,"-4.0582",1
"11",51.126926,"1.313177",1
"12",51.132541,"0.263702",1
"13",51.269112,"0.522652",2
"14",51.279183,"1.078872",7
"15",51.345814,"-0.804143",1
"16",51.379586,"-2.359209",5
"17",51.388295,"0.506111",1
"18",51.402005,"-0.166903",1
"19",51.421079,"-0.168162",1
"20",51.440476,"0.370721",1
"21",51.451293,"-2.587293",5
"22",51.452292,"-0.977167",1
"23",51.468404,"-0.382687",1
"24",51.478368,"-3.705962",1
"25",51.478919,"-3.17793",2
"26",51.482111,"-0.613113",1
"27",51.500581,"-0.133212",1
"28",51.512072,"-0.126351",71
"29",51.52082,"-0.136361",1
"30",51.541529,"-0.145865",1
"31",51.54381,"0.708811",1
"32",51.546601,"-0.007681",5
"33",51.548834,"-0.109791",3
"34",51.554099,"0.078156",3
"35",51.555936,"-1.780291",1
"36",51.571518,"0.220276",2
"37",51.594485,"0.750454",1
"38",51.620878,"-3.94362",1
"39",51.656865,"-0.391092",1
"40",51.732462,"0.468812",1
"41",51.752096,"-1.258233",1
"42",51.76594,"0.137516",1
"43",51.893299,"0.890599",2
"44",52.040354,"-0.759447",2
"45",52.121752,"-2.317541",1
"46",52.135189,"-0.465575",1
"47",52.203451,"0.122045",1
"48",52.239133,"-0.90306",11
"49",52.286258,"-1.528957",2
"50",52.384672,"-2.249147",2
"51",52.394492,"-0.729452",1
"52",52.475787,"-0.921777",1
"53",52.486137,"Â -1.891106",1
"54",52.490786,"-0.683751",1
"55",52.509361,"-2.080552",1
"56",52.568994,"-0.24141",2
"57",52.630121,"1.296804",4
"58",52.635015,"-1.140715",1
"59",52.667729,"-2.374402",1
"60",52.707417,"-2.755352",1
"61",52.806051,"-2.120302",1
"62",52.810003,"-1.639958",2
"63",52.918706,"-1.47512",1
"64",52.978067,"-0.02639",1
"65",53.043238,"-2.991945",1
"66",53.192278,"-2.892174",1
"67",53.321103,"-0.945348",1
"68",53.340196,"0.261297",1
"69",53.382121,"-1.469252",2
"70",53.4035,"-2.984731",2
"71",53.481563,"-2.243384",10
"72",53.554438,"-1.480221",1
"73",53.566456,"-0.071032",1
"74",53.683689,"-1.506113",1
"75",53.746568,"-2.487379",1
"76",53.76293,"-2.70402",1
"77",53.797405,"-1.549473",5
"78",53.821943,"-3.04343",2
"79",53.957162,"-1.085057",1
"80",54.560346,"-1.143094",1
"81",54.867638,"-6.2804",1
"82",54.978716,"-1.617707",1
"83",55.466677,"-4.278726",3
"84",55.846447,"-4.440949",1
"85",55.85962,"-4.250319",25
"86",55.950224,"-3.183711",1
"87",56.24502,"-5.287265",2
"88",56.45897,"-2.980574",4
"89",58.131539,"-6.691269",1
"90",60.318077,"-1.267586",2
"91",NA,"",1
